[2025-04-18 01:09:08] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:10] [INFO] Iteration 49, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 50, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 51, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 52, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 53, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 54, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 55, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 56, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 57, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 58, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 59, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 60, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 61, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 62, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 63, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 64, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 65, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 66, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 67, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 68, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 69, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 70, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 71, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 72, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 73, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 74, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 75, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 76, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 77, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 78, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 79, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 80, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 81, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 82, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 83, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 84, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 85, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 86, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 87, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 88, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 89, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 90, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 91, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 92, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 93, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 94, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 95, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 96, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 97, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 98, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Iteration 99, Best fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Improved SHO completed
[2025-04-18 01:09:10] [INFO] Best solution fitness: 65283.0
[2025-04-18 01:09:10] [INFO] SHO completed with fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Final optimized solution fitness: 65283.0
[2025-04-18 01:09:10] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:10] [INFO] Max iterations: 100
[2025-04-18 01:09:10] [INFO] Initialized population with 1 hyenas
[2025-04-18 01:09:10] [INFO] Best initial hyena fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 0, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 1, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 2, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 3, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 4, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 5, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 6, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 7, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 8, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 9, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 10, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 11, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 12, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 13, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 14, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 15, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 16, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 17, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 18, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 19, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 20, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 21, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 22, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 23, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 24, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 25, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 26, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 27, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 28, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 29, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 30, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 31, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 32, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 33, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 34, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 35, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 36, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 37, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 38, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 39, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 40, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 41, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 42, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 43, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 44, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 45, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 46, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 47, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 48, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 49, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 50, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 51, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 52, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 53, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 54, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 55, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 56, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 57, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 58, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 59, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 60, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 61, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 62, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 63, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 64, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 65, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 66, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 67, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 68, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 69, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 70, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 71, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 72, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 73, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 74, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 75, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 76, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 77, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 78, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 79, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 80, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 81, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 82, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 83, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 84, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 85, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 86, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 87, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 88, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 89, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 90, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 91, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 92, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 93, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 94, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 95, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 96, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 97, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 98, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Iteration 99, Best fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Improved SHO completed
[2025-04-18 01:09:10] [INFO] Best solution fitness: 79720.0
[2025-04-18 01:09:10] [INFO] SHO completed with fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Final optimized solution fitness: 79720.0
[2025-04-18 01:09:10] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:10] [INFO] Max iterations: 100
[2025-04-18 01:09:10] [INFO] Initialized population with 1 hyenas
[2025-04-18 01:09:10] [INFO] Best initial hyena fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 0, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 1, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 2, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 3, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 4, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 5, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 6, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 7, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 8, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 9, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 10, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 11, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 12, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 13, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 14, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 15, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 16, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 17, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 18, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 19, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 20, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 21, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 22, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 23, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 24, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 25, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 26, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 27, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 28, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 29, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 30, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 31, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 32, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 33, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 34, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 35, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 36, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 37, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 38, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 39, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 40, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 41, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 42, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 43, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 44, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 45, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 46, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 47, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 48, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 49, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 50, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 51, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 52, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 53, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 54, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 55, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 56, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 57, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 58, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 59, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 60, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 61, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 62, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 63, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 64, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 65, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 66, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 67, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 68, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 69, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 70, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 71, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 72, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 73, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 74, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 75, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 76, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 77, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 78, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 79, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 80, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 81, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 82, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 83, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 84, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 85, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 86, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 87, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 88, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 89, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 90, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 91, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 92, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 93, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 94, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 95, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 96, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 97, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 98, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Iteration 99, Best fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Improved SHO completed
[2025-04-18 01:09:10] [INFO] Best solution fitness: 86433.0
[2025-04-18 01:09:10] [INFO] SHO completed with fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Final optimized solution fitness: 86433.0
[2025-04-18 01:09:10] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:10] [INFO] Max iterations: 100
[2025-04-18 01:09:10] [INFO] Initialized population with 1 hyenas
[2025-04-18 01:09:10] [INFO] Best initial hyena fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 0, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 1, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 2, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 3, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 4, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 5, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 6, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 7, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 8, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 9, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 10, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 11, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 12, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 13, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 14, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 15, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 16, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 17, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 18, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 19, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 20, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 21, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 22, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 23, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 24, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 25, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 26, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 27, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 28, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 29, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 30, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 31, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 32, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 33, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 34, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 35, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 36, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 37, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 38, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 39, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 40, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 41, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 42, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 43, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 44, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 45, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 46, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 47, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 48, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 49, Best fitness: 57896.0
[2025-04-18 01:09:10] [INFO] Iteration 50, Best fitness: 57896.0
